OID_,Point,QR_code,c_0_15,c_15_30,mean_carb,log_10,mgmt
114,175,7C94FE5725,3.6670001,2.411000000000000,3.0390000,0.4827310,1
115,176,B1A24E2363,3.2370000,2.512000000000000,2.8745000,0.4585620,2
116,177,5124B045B9,2.7880001,1.107000000000000,1.9475000,0.2894770,1
117,180,F35950428A,3.1400001,1.899000000000000,2.5195000,0.4013140,2
118,181,61D85C187D,3.0569999,2.773000000000000,2.9150000,0.4646390,2
119,182,5719FCD75F,2.4740000,1.532000000000000,2.0030000,0.3016810,2
120,183,9B083AA6AC,3.4740000,2.088000000000000,2.7809999,0.4442010,2
121,184,0287CA9262,2.5200000,1.588000000000000,2.0539999,0.3126000,1
122,185,D67F2F5968,2.5799999,1.219000000000000,1.8995000,0.2786390,1
123,187,927166F0F1,4.3979998,2.618000000000000,3.5079999,0.5450600,2
124,188,E677E242BB,4.5890002,2.411000000000000,3.5000000,0.5440680,3
125,189,B1FDAAA247,2.0400000,1.470000000000000,1.7550000,0.2442770,2
126,190,92B210A7E1,3.6780000,1.427000000000000,2.5525000,0.4069660,1
127,191,2820AD4FA9,4.4770002,1.893000000000000,3.1849999,0.5031090,3
128,192,63185048F0,4.2059999,2.976000000000000,3.5910001,0.5552150,2
129,193,94FA6ED562,3.2420001,2.858000000000000,3.0500000,0.4843000,1
130,194,8E1AD3A1B6,3.6240001,2.076000000000000,2.8499999,0.4548450,2
131,195,B0DD22FBA6,3.1840000,1.685000000000000,2.4345000,0.3864100,2
132,196,B13A5F6806,3.7920001,2.597000000000000,3.1945000,0.5044030,2
133,197,B8CE6B60CB,2.6080000,2.291000000000000,2.4495001,0.3890770,2
134,198,0B885D6AD9,2.2679999,1.635000000000000,1.9515001,0.2903690,3
135,199,1D4A1DB742,4.2119999,3.392000000000000,3.8020000,0.5800120,2
136,200,37DFBEDDD1,4.7930002,2.882000000000000,3.8375001,0.5840480,2
137,201,D906438D6E,3.4010000,1.715000000000000,2.5580001,0.4079010,2
138,202,A3800A6BA3,3.0530000,1.439000000000000,2.2460001,0.3514100,2
139,203,B03D25CE7D,2.8099999,2.151000000000000,2.4805000,0.3945390,1
140,204,02FC8DB0C8,2.7900000,1.568000000000000,2.1789999,0.3382570,1
141,205,A154712C35,2.6320000,1.283000000000000,1.9575000,0.2917020,1
142,206,4CE9626D9A,3.7860000,2.161000000000000,2.9735000,0.4732680,2
143,207,641D493294,3.7420001,0.847000000000000,2.2945001,0.3606880,1
144,208,06904426EE,3.0039999,3.359000000000000,3.1815000,0.5026320,2
145,209,5E808DE143,3.0160000,2.424000000000000,2.7200000,0.4345690,2
146,210,B1092478A3,4.1069999,2.619000000000000,3.3629999,0.5267270,3
147,211,DFDEDBCC06,3.6580000,1.518000000000000,2.5880001,0.4129640,3
148,212,C1A78CE363,6.1900001,2.746000000000000,4.4679999,0.6501130,3
149,213,13C5737EDD,2.8410001,1.639000000000000,2.2400000,0.3502480,2
150,216,58600CE83A,4.1459999,1.923000000000000,3.0344999,0.4820870,2
